Berlin,40,BER
Tokyo,300,TYO
Sydney,300,SYD
Istanbul,60,IST
Kuala Lumpur,300,KUL
New York,200,JFK
San Francisco,260,SFO
Cape Town,300,CPT
Bangkok,250,BKK
Islamabad,350,ISB
Dubai,280,DXB
Singapore,280,SIN
Rome,30,FCO
Antalya,60,AYT
Melbourne,300,MEL
Los Angeles,300,LAX
Madrid,30,ECV
Barcelona,30,BCN
Mexico City,300,MEX
Lisbon,40,LIS
Toronto,280,YYZ
Sao Paulo,280,GRU
Porto,35,OPO
Vienna,35,VIE
Shanghai,300,PVG
Amsterdam,30,AMS
Abu Dhabi,300,AUH
Hong Kong,300,HKG
Rio de Janeiro,300,GIG
Beijing,300,PEK
Bali,300,DPS
Dubrovnik,30,DBV
Santorini,40,JTR
Athens,40,ATH
Petra,250,KBR
Doha,250,DIA
Barbados,250,BGI
Cairo,180,CAI
Copenhagen,30,CPH
Machu Pichu,300,CUZ
Hanoi,250,HAN
Hawaii,300,HNL
Budapest,30,BUD
Helsinki,40,HEL
Venice,40,VCE
Seoul,300,ICN
Casablanca,60,CMN
Auckland,250,AKL
Florence,50,FLR
Stockholm,30,ARN
Kiev,60,IEV
Prague,30,PRG
Kyoto,300,KIX
Kingston,250,KIN
Jakarta,250,CGK
Male,300,MLE
Luxemourg,40,LUX
Taipei,250,TPE
